subscription_id,customer_id,start_date,end_date,subscription_type,price,media
0,0,2018-01-29,2018-02-28,MONTHLY,50,GOOGLE_AD_WORDS
1,1,2018-01-27,2018-02-27,MONTHLY,50,GOOGLE_AD_WORDS
2,1,2018-02-27,2018-03-27,MONTHLY,50,GOOGLE_AD_WORDS
3,1,2018-03-27,2018-04-27,MONTHLY,50,GOOGLE_AD_WORDS
4,1,2018-04-27,2018-05-27,MONTHLY,50,GOOGLE_AD_WORDS
5,1,2018-05-27,2018-06-27,MONTHLY,50,GOOGLE_AD_WORDS
6,1,2018-06-27,2018-07-27,MONTHLY,50,GOOGLE_AD_WORDS
7,1,2018-07-27,2018-08-27,MONTHLY,50,GOOGLE_AD_WORDS
8,1,2018-08-27,2018-09-27,MONTHLY,50,GOOGLE_AD_WORDS
9,1,2018-09-27,2018-10-27,MONTHLY,50,GOOGLE_AD_WORDS
10,1,2018-10-27,2018-11-27,MONTHLY,50,GOOGLE_AD_WORDS
11,1,2018-11-27,2018-12-27,MONTHLY,50,GOOGLE_AD_WORDS
12,1,2018-12-27,2019-01-27,MONTHLY,50,GOOGLE_AD_WORDS
13,1,2019-01-27,2019-02-27,MONTHLY,50,GOOGLE_AD_WORDS
14,1,2019-02-27,2019-03-27,MONTHLY,50,GOOGLE_AD_WORDS
15,1,2019-03-27,2019-04-27,MONTHLY,50,GOOGLE_AD_WORDS
16,1,2019-04-27,2019-05-27,MONTHLY,50,GOOGLE_AD_WORDS
17,1,2019-05-27,2019-06-27,MONTHLY,50,GOOGLE_AD_WORDS
18,2,2018-01-31,2018-02-28,MONTHLY,50,FACEBOOK_ADS
19,3,2018-01-30,2018-02-28,MONTHLY,50,GOOGLE_AD_WORDS
20,3,2018-02-28,2018-03-28,MONTHLY,50,GOOGLE_AD_WORDS
21,3,2018-03-28,2018-04-28,MONTHLY,50,GOOGLE_AD_WORDS
22,3,2018-04-28,2018-05-28,MONTHLY,50,GOOGLE_AD_WORDS
23,3,2018-05-28,2018-06-28,MONTHLY,50,GOOGLE_AD_WORDS
24,4,2018-01-23,2019-01-23,YEARLY,400,GOOGLE_AD_WORDS
25,4,2019-01-23,2020-01-23,YEARLY,400,GOOGLE_AD_WORDS
26,5,2018-01-27,2018-02-27,MONTHLY,50,FACEBOOK_ADS
27,5,2018-02-27,2018-03-27,MONTHLY,50,FACEBOOK_ADS
28,5,2018-03-27,2018-04-27,MONTHLY,50,FACEBOOK_ADS
29,6,2018-01-29,2018-02-28,MONTHLY,50,FACEBOOK_ADS
30,7,2018-01-18,2018-02-18,MONTHLY,50,FACEBOOK_ADS
31,7,2018-02-18,2018-03-18,MONTHLY,50,FACEBOOK_ADS
32,7,2018-03-18,2018-04-18,MONTHLY,50,FACEBOOK_ADS
33,7,2018-04-18,2018-05-18,MONTHLY,50,FACEBOOK_ADS
34,7,2018-05-18,2018-06-18,MONTHLY,50,FACEBOOK_ADS
